FID1,FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Region,dist2c
3577STDY6068445,urn:wtsi:402768_E11_3577STDY6068445,urn:wtsi:402768_E11_3577STDY6068445,0.10967439999999999,0.2048027,0.007415029,0.01207924,-0.09751489999999999,-0.04482239,0.01520417,0.006310769,-0.05983614,0.004607518,Abyn,0.025310127435559684
3577STDY6068524,urn:wtsi:402769_E06_3577STDY6068524,urn:wtsi:402769_E06_3577STDY6068524,0.11849000000000001,0.1962102,0.007147904,0.01403682,-0.1055095,-0.04684734,0.01287496,0.004882728,-0.05573859,0.005151392,Amr,0.008237918882301591
3577STDY6068383,urn:wtsi:402768_B06_3577STDY6068383,urn:wtsi:402768_B06_3577STDY6068383,0.1137797,0.20677089999999998,0.002799406,0.01368066,-0.1086799,-0.05015361,0.02298167,0.005965302,-0.06857866,0.007533865,Byd,0.035940637535596086
3577STDY6068400,urn:wtsi:402768_D07_3577STDY6068400,urn:wtsi:402768_D07_3577STDY6068400,0.11226489999999999,0.1750475,0.007870333,0.01721647,-0.09746968,-0.04354007,0.01308565,0.004427497,-0.05812826,0.006903241,Dal,0.02362065242380995
3577STDY6068373,urn:wtsi:402768_B05_3577STDY6068373,urn:wtsi:402768_B05_3577STDY6068373,0.1088195,0.19769420000000001,0.009375181,0.01555182,-0.1105566,-0.0516516,0.02439068,0.007696186,-0.05932288,0.001373485,Dhm,0.012930661525444451
3577STDY6068478,urn:wtsi:402769_E02_3577STDY6068478,urn:wtsi:402769_E02_3577STDY6068478,0.1386985,0.1734218,0.0058330019999999995,0.02451838,-0.1174642,-0.05138667,0.02197915,0.007112467,-0.06717632,-0.001725045,Haj,0.015846226109162826
3577STDY6068497,urn:wtsi:402769_C04_3577STDY6068497,urn:wtsi:402769_C04_3577STDY6068497,0.16940550000000001,0.09452732,0.007639758000000001,0.005487151,-0.07132775,-0.005307322,0.005512283000000001,0.0103972,-0.05694373,-0.002340665,Hdr,0.029013716553815426
3577STDY6068594,urn:wtsi:402769_F10_3577STDY6068594,urn:wtsi:402769_F10_3577STDY6068594,0.12153489999999999,0.1894896,0.0043454159999999995,0.01256582,-0.1026339,-0.04834224,0.02404019,0.01231489,-0.06324429,0.003711554,Ibb,0.010830647603940794
3577STDY6068447,urn:wtsi:402768_F11_3577STDY6068447,urn:wtsi:402768_F11_3577STDY6068447,0.1286089,0.182077,0.006788661999999999,0.01486021,-0.10749489999999999,-0.04357497,0.0169932,-0.00283454,-0.06435956,0.01245364,Jwf,0.013431553456040482
3577STDY6068428,urn:wtsi:402768_H09_3577STDY6068428,urn:wtsi:402768_H09_3577STDY6068428,0.12670399999999998,0.18560220000000002,0.004414998,0.01374205,-0.12038689999999999,-0.04760553,0.0199171,0.008924419,-0.05994965,0.008138275,Lahj,0.010120379316906835
3577STDY6068493,urn:wtsi:402769_G03_3577STDY6068493,urn:wtsi:402769_G03_3577STDY6068493,0.1168237,0.2016124,0.002486847,0.01536504,-0.1146502,-0.05338826,0.01476731,0.003587732,-0.05988266,0.009239249,Mhw,0.018192802794132316
3577STDY6068460,urn:wtsi:402769_A01_3577STDY6068460,urn:wtsi:402769_A01_3577STDY6068460,0.107124,0.225854,0.003747688,0.01898804,-0.11271880000000001,-0.058252,0.01656425,0.009815713,-0.07548631,0.0067354830000000004,Mrb,0.010881840897215951
3577STDY6068553,urn:wtsi:402769_C09_3577STDY6068553,urn:wtsi:402769_C09_3577STDY6068553,0.15163239999999997,0.14292729999999998,0.009217299,0.01195089,-0.1101655,-0.03827604,0.01615664,0.00553246,-0.06083097,-0.001893718,Rsa,0.008726779156385372
3577STDY6068454,urn:wtsi:402768_D12_3577STDY6068454,urn:wtsi:402768_D12_3577STDY6068454,0.1024817,0.196911,0.0024827829999999997,0.01515016,-0.09251537,-0.0424021,0.02111773,0.008326134,-0.06872604,0.00609814,Sad,0.016484624979992743
3577STDY6068512,urn:wtsi:402769_F05_3577STDY6068512,urn:wtsi:402769_F05_3577STDY6068512,0.11268620000000001,0.1969629,0.006741474,0.01373665,-0.09676591,-0.04663238,0.01310114,0.006286949,-0.05200487,0.004344879,San,0.011116029364289197
3577STDY6068479,urn:wtsi:402769_F02_3577STDY6068479,urn:wtsi:402769_F02_3577STDY6068479,0.1292596,0.17146660000000002,0.006596185,0.01838389,-0.10466019999999998,-0.04366128,0.02072364,0.005419298,-0.06484847,0.008598745,Shb,0.008310063367682254
3577STDY6068571,urn:wtsi:402769_A10_3577STDY6068571,urn:wtsi:402769_A10_3577STDY6068571,0.1365401,0.1747224,0.00415223,0.01559765,-0.1099806,-0.04808636,0.01817141,0.0052887609999999995,-0.06560723,0.005299268,Tiz,0.007122805534616746
